"units","param","class1","class2","xLabel","aggregate","classLabel1","classPalette1","classLabel2","classPalette2"
"Electricity Generation by Fuel (TWh)","elecByTechTWh","biomass","biomass (conv) (cooling pond) base load generation","Year","sum","Fuel","pal_metis","Technology","pal_metis"
"Electricity Generation by Fuel (TWh)","elecByTechTWh","biomass","biomass (conv) (cooling pond) intermediate generation","Year","sum","Fuel","pal_metis","Technology","pal_metis"
"Electricity Generation by Fuel (TWh)","elecByTechTWh","biomass","biomass (conv) (dry cooling) base load generation","Year","sum","Fuel","pal_metis","Technology","pal_metis"
"Electricity Generation by Fuel (TWh)","elecByTechTWh","biomass","biomass (conv) (dry cooling) intermediate generation","Year","sum","Fuel","pal_metis","Technology","pal_metis"
"Electricity Generation by Fuel (TWh)","elecByTechTWh","biomass","biomass (conv) (once through) base load generation","Year","sum","Fuel","pal_metis","Technology","pal_metis"
"Electricity Generation by Fuel (TWh)","elecByTechTWh","biomass","biomass (conv) (once through) intermediate generation","Year","sum","Fuel","pal_metis","Technology","pal_metis"
"Electricity Generation by Fuel (TWh)","elecByTechTWh","biomass","biomass (conv) (recirculating) base load generation","Year","sum","Fuel","pal_metis","Technology","pal_metis"
"Electricity Generation by Fuel (TWh)","elecByTechTWh","biomass","biomass (conv) (recirculating) intermediate generation","Year","sum","Fuel","pal_metis","Technology","pal_metis"
"Electricity Generation by Fuel (TWh)","elecByTechTWh","biomass","biomass (conv) (seawater) base load generation","Year","sum","Fuel","pal_metis","Technology","pal_metis"
"Electricity Generation by Fuel (TWh)","elecByTechTWh","biomass","biomass (conv) (seawater) intermediate generation","Year","sum","Fuel","pal_metis","Technology","pal_metis"
"Electricity Generation by Fuel (TWh)","elecByTechTWh","biomass","biomass (IGCC) (dry cooling) base load generation","Year","sum","Fuel","pal_metis","Technology","pal_metis"
"Electricity Generation by Fuel (TWh)","elecByTechTWh","biomass","biomass (IGCC) (dry cooling) intermediate generation","Year","sum","Fuel","pal_metis","Technology","pal_metis"
"Electricity Generation by Fuel (TWh)","elecByTechTWh","biomass","biomass (IGCC) (once through) base load generation","Year","sum","Fuel","pal_metis","Technology","pal_metis"
"Electricity Generation by Fuel (TWh)","elecByTechTWh","biomass","biomass (IGCC) (once through) intermediate generation","Year","sum","Fuel","pal_metis","Technology","pal_metis"
"Electricity Generation by Fuel (TWh)","elecByTechTWh","biomass","biomass (IGCC) (recirculating) base load generation","Year","sum","Fuel","pal_metis","Technology","pal_metis"
"Electricity Generation by Fuel (TWh)","elecByTechTWh","biomass","biomass (IGCC) (recirculating) intermediate generation","Year","sum","Fuel","pal_metis","Technology","pal_metis"
"Electricity Generation by Fuel (TWh)","elecByTechTWh","biomass","biomass (IGCC) (seawater) base load generation","Year","sum","Fuel","pal_metis","Technology","pal_metis"
"Electricity Generation by Fuel (TWh)","elecByTechTWh","biomass","biomass (IGCC) (seawater) intermediate generation","Year","sum","Fuel","pal_metis","Technology","pal_metis"
